Comment,Designator,Footprint,LCPCB Part#
10uF,C1,C_0805_2012Metric,C15850
10uF,C2,C_0805_2012Metric,C15850
100nF,C3,C_0805_2012Metric,C49678
100nF,C4,C_0805_2012Metric,C49678
22uF,C5,C_0805_2012Metric,C45783
22uF,C6,C_0805_2012Metric,C45783
100nF,C7,C_0805_2012Metric,C49678
10uF,C8,C_0805_2012Metric,C15850
10nF,C9,C_0805_2012Metric,C1710
10nF,C10,C_0805_2012Metric,C1710
10nF,C11,C_0805_2012Metric,C1710
10nF,C12,C_0805_2012Metric,C1710
10nF,C13,C_0805_2012Metric,C1710
100nF,C14,C_0805_2012Metric,C49678
27pF,C15,C_0805_2012Metric,C1808
27pF,C16,C_0805_2012Metric,C1808
100nF,C17,C_0805_2012Metric,C49678
100nF,C18,C_0805_2012Metric,C49678
100nF,C19,C_0805_2012Metric,C49678
4.7uF,C20,C_0805_2012Metric,C1779
10nF,C21,C_0805_2012Metric,C1710
1uF,C22,C_0805_2012Metric,C28323
LED_Small,D1,LED_0805_2012Metric,C2900154
NUP2105LT1G,D2,SOT-23-3,C2890118
Ferrite_Bead,FB1,R_0805_2012Metric,C85840
5.6uH,L1,Wuerth_LHMI,C467062
DMN2004WK,Q1,SOT-323_SC-67,C151011
DMN2004WK,Q2,SOT-323_SC-68,C151011
DMN2004WK,Q3,SOT-323_SC-69,C151011
DMN2004WK,Q4,SOT-323_SC-70,C151011
30R,R1,R_0805_2012Metric,C325808
52.3K,R2,R_0805_2012Metric,C17740
10K,R3,R_0805_2012Metric,C17414
120R,R4,R_0805_2012Metric,C17437
10K,R5,R_0805_2012Metric,C17414
10K,R6,R_0805_2012Metric,C17414
10K,R7,R_0805_2012Metric,C17414
10K,R8,R_0805_2012Metric,C17414
10K,R9,R_0805_2012Metric,C17414
10K,R10,R_0805_2012Metric,C17414
10K,R11,R_0805_2012Metric,C17414
10K,R12,R_0805_2012Metric,C17414
4.7K,R13,R_0805_2012Metric,C17673
4.7K,R14,R_0805_2012Metric,C17673
4.7K,R15,R_0805_2012Metric,C17673
4.7K,R16,R_0805_2012Metric,C17673
4.7K,R17,R_0805_2012Metric,C17673
10K,R18,R_0805_2012Metric,C17414
10K,R19,R_0805_2012Metric,C17414
10K,R20,R_0805_2012Metric,C17414
10K,R21,R_0805_2012Metric,C17414
10K,R22,R_0805_2012Metric,C17414
1K,R23,R_0805_2012Metric,C17513
10K,R24,R_0805_2012Metric,C17414
10K,R25,R_0805_2012Metric,C17414
10K,R26,R_0805_2012Metric,C17414
120R 2W,R27,R_2512_6332Metric,C19865
10K,R28,R_0805_2012Metric,C17414
10K,R29,R_0805_2012Metric,C17414
10K,R30,R_0805_2012Metric,C17414
10K,R31,R_0805_2012Metric,C17414
10K,R32,R_0805_2012Metric,C17414
10K,R33,R_0805_2012Metric,C17414
10K,R34,R_0805_2012Metric,C17414
10K,R35,R_0805_2012Metric,C17414
TPS56339DDCR,U1,SOT-23-6,C2071106
LD1117S33CTR,U2,SOT-223,C35879
MCP2562,U3,SOIC-8_3.9x4.9mm_P1.27mm,C191417
STM32F303K8T6,U4,LQFP-32_7x7mm_P0.8mm,C118318
8mHz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C144380
