Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,149.034500,-94.678500,-90.000000,top
C2,10uF,C_0805_2012Metric,153.225500,-94.678500,-90.000000,top
C3,100nF,C_0805_2012Metric,151.130000,-94.678500,-90.000000,top
C4,100nF,C_0805_2012Metric,148.780500,-85.725000,0.000000,top
C5,22uF,C_0805_2012Metric,140.716000,-89.662000,90.000000,top
C6,22uF,C_0805_2012Metric,140.716000,-93.345000,-90.000000,top
C7,100nF,C_0805_2012Metric,139.700000,-86.487000,0.000000,top
C8,10uF,C_0805_2012Metric,129.540000,-93.091000,-90.000000,top
C9,10nF,C_0805_2012Metric,126.492000,-96.139000,-90.000000,top
C10,10nF,C_0805_2012Metric,133.223000,-85.725000,-90.000000,top
C11,10nF,C_0805_2012Metric,126.492000,-89.027000,90.000000,top
C12,10nF,C_0805_2012Metric,126.492000,-92.583000,90.000000,top
C13,10nF,C_0805_2012Metric,126.492000,-85.471000,-90.000000,top
C14,100nF,C_0805_2012Metric,144.145000,-84.836000,0.000000,top
C15,27pF,C_0805_2012Metric,124.714000,-74.168000,0.000000,top
C16,27pF,C_0805_2012Metric,124.714000,-77.089000,0.000000,top
C17,100nF,C_0805_2012Metric,120.015000,-80.899000,0.000000,top
C18,100nF,C_0805_2012Metric,139.700000,-82.169000,180.000000,top
C19,100nF,C_0805_2012Metric,129.413000,-72.390000,0.000000,top
C20,4.7uF,C_0805_2012Metric,139.700000,-84.201000,180.000000,top
C21,10nF,C_0805_2012Metric,127.254000,-82.423000,180.000000,top
C22,1uF,C_0805_2012Metric,123.698000,-82.423000,0.000000,top
D1,LED_Small,LED_0805_2012Metric,129.540000,-89.027000,-90.000000,top
D2,NUP2105LT1G,SOT-23-3,151.130000,-81.280000,0.000000,top
FB1,Ferrite_Bead,R_0805_2012Metric,126.111000,-80.391000,0.000000,top
L1,5.6uH,Wuerth_LHMI,144.589500,-90.614500,0.000000,top
Q1,DMN2004WK,SOT-323_SC-70,156.210000,-68.580000,90.000000,top
Q2,DMN2004WK,SOT-323_SC-70,142.494000,-68.580000,90.000000,top
Q3,DMN2004WK,SOT-323_SC-70,135.636000,-68.580000,90.000000,top
Q4,DMN2004WK,SOT-323_SC-70,149.352000,-68.580000,90.000000,top
R1,30R,R_0805_2012Metric,152.654000,-85.725000,0.000000,top
R2,52.3K,R_0805_2012Metric,144.145000,-86.868000,180.000000,top
R3,10K,R_0805_2012Metric,145.209500,-94.043500,0.000000,top
R4,120R,R_0805_2012Metric,130.810000,-85.090000,-90.000000,top
R5,10K,R_0805_2012Metric,128.778000,-97.917000,-90.000000,top
R6,10K,R_0805_2012Metric,131.318000,-97.917000,-90.000000,top
R7,10K,R_0805_2012Metric,133.858000,-97.917000,-90.000000,top
R8,10K,R_0805_2012Metric,136.398000,-97.917000,-90.000000,top
R9,10K,R_0805_2012Metric,138.938000,-97.917000,-90.000000,top
R10,10K,R_0805_2012Metric,141.478000,-97.917000,-90.000000,top
R11,10K,R_0805_2012Metric,144.018000,-97.917000,-90.000000,top
R12,10K,R_0805_2012Metric,146.558000,-97.917000,-90.000000,top
R13,4.7K,R_0805_2012Metric,122.428000,-96.139000,-90.000000,top
R14,4.7K,R_0805_2012Metric,122.428000,-99.695000,-90.000000,top
R15,4.7K,R_0805_2012Metric,122.428000,-89.027000,90.000000,top
R16,4.7K,R_0805_2012Metric,122.428000,-92.583000,90.000000,top
R17,4.7K,R_0805_2012Metric,122.428000,-85.471000,-90.000000,top
R18,10K,R_0805_2012Metric,124.460000,-96.139000,90.000000,top
R19,10K,R_0805_2012Metric,124.460000,-99.695000,90.000000,top
R20,10K,R_0805_2012Metric,124.460000,-89.027000,-90.000000,top
R21,10K,R_0805_2012Metric,124.460000,-92.583000,-90.000000,top
R22,10K,R_0805_2012Metric,124.460000,-85.471000,90.000000,top
R23,1K,R_0805_2012Metric,150.114000,-77.216000,90.000000,top
R24,10K,R_0805_2012Metric,125.730000,-68.580000,-90.000000,top
R25,10K,R_0805_2012Metric,125.730000,-65.024000,-90.000000,top
R26,10K,R_0805_2012Metric,150.114000,-73.675000,-90.000000,top
R27,120R 2W,R_2512_6332Metric,155.575000,-77.216000,90.000000,top
R28,10K,R_0805_2012Metric,151.765000,-68.580000,-90.000000,top
R29,10K,R_0805_2012Metric,140.081000,-68.580000,-90.000000,top
R30,10K,R_0805_2012Metric,153.797000,-68.580000,90.000000,top
R31,10K,R_0805_2012Metric,138.049000,-68.580000,90.000000,top
R32,10K,R_0805_2012Metric,133.223000,-64.975500,-90.000000,top
R33,10K,R_0805_2012Metric,146.939000,-68.580000,-90.000000,top
R34,10K,R_0805_2012Metric,135.382000,-65.024000,-90.000000,top
R35,10K,R_0805_2012Metric,144.907000,-68.580000,90.000000,top
U1,TPS56339DDCR,SOT-23-6,149.606000,-90.614500,0.000000,top
U2,LD1117S33CTR,SOT-223,135.128000,-91.313000,90.000000,top
U3,MCP2562,SOIC-8_3.9x4.9mm_P1.27mm,145.288000,-80.899000,0.000000,top
U4,STM32F303K8T6,LQFP-32_7x7mm_P0.8mm,134.620000,-77.216000,0.000000,top
Y1,8mHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,121.031000,-75.565000,-90.000000,top
